"width","length","type","region","model","height-min","height-max","stories"
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10a.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10b.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10c.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10d.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10e.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10f.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10g.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-Soliter_10x10h.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10h.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10i.obj",,,
10.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10j.obj",,,
10.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_10.0x12.0_UK_3.obj",,,
10.00.00,19.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-2x_10x19a.obj",,,
10.00.00,19.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-2x_10x19b.obj",,,
10.00.00,19.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-2x_10x19c.obj",,,
10.00.00,19.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-2x_10x19d.obj",,,
10.00.00,19.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-2x_10x19e.obj",,,
10.00.00,19.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/domek-2x_10x19f.obj",,,
11.00.00,13.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/plochaStrecha_11x13a.obj",,,
11.00.00,13.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/plochaStrecha_11x13b.obj",,,
11.00.00,13.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/plochaStrecha_11x13c.obj",,,
11.00.00,13.00.00,"residential","CE","R2_Library/budovy/domky/soliterni/plochaStrecha_11x13d.obj",,,
11.05.00,10.00.00,"residential","CE","objects/houses/EU/R_11.5x10.0_PL_1.obj",,,
11.05.00,10.00.00,"residential","CE","objects/houses/EU/R_11.5x10.0_PL_2.obj",,,
11.05.00,09.05.00,"residential","CE","objects/houses/EU/R_11.5x9.5_PL.obj",,,
11.05.00,10.00.00,"residential","PL","objects/houses/EU/R_11.5x10.0_PL_1.obj",,,
11.05.00,10.00.00,"residential","PL","objects/houses/EU/R_11.5x10.0_PL_2.obj",,,
11.05.00,09.05.00,"residential","PL","objects/houses/EU/R_11.5x9.5_PL.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10a.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10b.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10c.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10d.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10e.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10f.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10g.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10h.obj",,,
12.00.00,10.00.00,"residential","CE","R2_Library/budovy/radove_sekce/radovaVila_12x10i.obj",,,
12.00.00,12.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x12a.obj",,,
12.00.00,12.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x12b.obj",,,
12.00.00,12.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x12c.obj",,,
12.00.00,12.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x12d.obj",,,
12.00.00,12.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x12e.obj",,,
12.00.00,12.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x12f.obj",,,
12.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-2x_12x20a.obj",,,
12.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-2x_12x20b.obj",,,
12.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-2x_12x20c.obj",,,
12.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-2x_12x20d.obj",,,
12.07.00,08.00.00,"residential","CE","objects/houses/EU/R_12.7x8.0_PL_1.obj",,,
12.07.00,08.00.00,"residential","CE","objects/houses/EU/R_12.7x8.0_PL_2.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13a.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13b.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13c.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13d.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13e.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13f.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13g.obj",,,
13.00.00,13.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x13h.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16a.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16b.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16c.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16d.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16e.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16f.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16g.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26a.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26b.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26c.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26d.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26e.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26f.obj",,,
13.05.00,12.05.00,"residential","CE","objects/houses/EU/R_13.5x12.5_PL.obj",,,
13.06.00,09.00.00,"residential","CE","objects/houses/EU/R_13.6x9.0_DE_1.obj",,,
13.06.00,09.00.00,"residential","CE","objects/houses/EU/R_13.6x9.0_DE_2.obj",,,
14.00.00,13.00.00,"residential","CE","objects/houses/EU/R_14.00x13.00_PL.obj",,,
15.00.00,10.00.00,"residential","CE","lib/g_buildings/mfh_15x10.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15a.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15b.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15c.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15d.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15a.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15b.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15c.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15d.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20a.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20b.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20c.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20d.obj",,,
15.03.00,13.00.00,"residential","CE","objects/houses/EU/R_15x13_PL_1.obj",,,
15.03.00,13.00.00,"residential","CE","objects/houses/EU/R_15x13_PL_2.obj",,,
17.00.00,12.00.00,"residential","CE","objects/houses/EU/R_17.0x12.0_PL.obj",,,
17.00.00,14.00.00,"residential","CE","objects/houses/EU/R_17.00x13.60_PL.obj",,,
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_10p.obj",,,10
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_12p.obj",,,12
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_14p.obj",,,14
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_8p.obj",,,8
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_10p.obj",,,10
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_12p.obj",,,12
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_14p.obj",,,14
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_8p.obj",,,8
19.00.00,19.00.00,"residential","CE","lib/g_buildings/mfh_19x19.obj",,,
20.00.00,10.00.00,"residential","CE","lib/g_buildings/mfh_20x10.obj",,,
28.00.00,13.00.00,"residential","CE","lib/g_buildings/erl_generic_apartmentblock_30a.obj",,,
04.16.00,08.35.00,"residential","GB","objects/houses/EU/GB/R_3.76x7.95_UK_1.obj",,,
04.16.00,08.35.00,"residential","GB","objects/houses/EU/GB/R_3.76x7.95_UK_2.obj",,,
30.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.30.obj",,,
30.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.30a.obj",,,
36.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnblock2.obj",,,
36.00.00,15.05.00,"residential","CE","lib/g_buildings/wohnblock_six_storey_brown_blue.obj",,,6
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_1.obj",,,
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_2.obj",,,
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_3.obj",,,
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_4.obj",,,
05.09.00,10.22.00,"residential","GB","objects/houses/EU/GB/R_4.96x9.82_UK_1.obj",,,
05.09.00,10.22.00,"residential","GB","objects/houses/EU/GB/R_4.96x9.82_UK_2.obj",,,
42.00.00,15.00.00,"residential","CE","lib/g_buildings/wohnblock_seven_storey_brown_blue.obj",,,7
42.00.00,16.00.00,"residential","CE","lib/g_buildings/wohnblock_fifteen_storey_white.obj",,,15
42.00.00,16.00.00,"residential","CE","lib/g_buildings/wohnblock_ten_storey_brown.obj",,,10
44.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnblock.three.storey.brown.obj",,,
44.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnblock1.obj",,,
47.00.00,12.05.00,"residential","CE","lib/g_buildings/wohnhaus.drei.beige.obj",,,3
47.00.00,12.05.00,"residential","CE","lib/g_buildings/wohnhaus.drei.gruen.obj",,,3
47.00.00,12.05.00,"residential","CE","lib/g_buildings/wohnhaus.drei.rot.obj",,,3
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_1.obj",,,
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_2.obj",,,
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_3.obj",,,
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_4.obj",,,
06.14.00,08.12.00,"residential","GB","objects/houses/EU/GB/R_5.74x8.12_UK_1.obj",,,
06.14.00,08.12.00,"residential","GB","objects/houses/EU/GB/R_5.74x8.12_UK_2.obj",,,
06.14.00,08.12.00,"residential","GB","objects/houses/EU/GB/R_5.74x8.12_UK_3.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.60.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.60a.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.brownsstone.60.obj",,,
60.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.brownsstone.60a.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.beige.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.blau.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.gruen.obj",,,
61.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnhaus.vier.rot.obj",,,
07.55.00,08.28.00,"residential","GB","objects/houses/EU/GB/R_7.55x7.88_UK_1.obj",,,
07.55.00,08.28.00,"residential","GB","objects/houses/EU/GB/R_7.55x7.88_UK_2.obj",,,
08.05.00,10.04.00,"residential","GB","objects/houses/EU/GB/R_7.65x10.4_UK_1.obj",,,
08.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10a.obj",,,
08.00.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10b.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20a.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20b.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20c.obj",,,
08.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_20d.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25a.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25b.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25c.obj",,,
08.00.00,25.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_25d.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30a.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30b.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30c.obj",,,
08.00.00,30.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_30d.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35a.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35b.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35c.obj",,,
08.00.00,35.00.00,"residential","CE","R2_Library/budovy/domky/podelne/domekPodelny_35d.obj",,,
08.06.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10g.obj",,,
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15a.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15b.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15c.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15d.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15e.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15f.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15g.obj",,,1
08.06.00,15.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_15h.obj",,,1
09.00.00,08.00.00,"residential","GB","objects/houses/EU/GB/R_9.0x8.0_UK.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10c.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10d.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10e.obj",,,
09.05.00,10.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_10f.obj",,,
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19a.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19b.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19c.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19d.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19e.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19f.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19g.obj",,,1
09.05.00,19.00.00,"residential","CE","R2_Library/budovy/domky/1-2p/domek_1p_19h.obj",,,1
17.30.00,09.49.00,"residential","CE","objects/houses/EU/R_16.9x9.49_PL.obj",,,
18.00.00,09.04.00,"residential","CE","objects/houses/EU/R_18.0x8.64_PL.obj",,,
33.10.00,09.28.00,"residential","CE","objects/houses/EU/R_32.70x9.28_PL.obj",,,3
35.35.00,09.45.00,"residential","CE","objects/houses/EU/R_35.35x9.45_3PL.obj",,,3
16.44.00,09.45.00,"residential","CE","objects/houses/EU/R_16_44x9.45_3PL.obj",,,3
32.00.00,11.40.00,"residential","CE","objects/houses/EU/R_32.00x11.40x22.42_PL.obj",,,5
62.10.00,11.40.00,"residential","CE","objects/houses/EU/R_61.70x11.40x22.42_PL.obj",,,5
08.55.00,09.17.00,"residential","CE","objects/houses/EU/R_8.55x8.77_PL_1.obj",,,2
08.55.00,09.17.00,"residential","CE","objects/houses/EU/R_8.55x8.77_PL_2.obj",,,2
07.05.00,08.13.00,"residential","GB","objects/houses/EU/GB/R_6.65x8.13_UK_1.obj",,,
07.05.00,08.13.00,"residential","GB","objects/houses/EU/GB/R_6.65x8.13_UK_2.obj",,,
06.20.00,09.00.00,"residential","GB","objects/houses/EU/GB/R_6.20x8.60_UK_1.obj",,,
12.00.00,11.30.00,"residential","CH","objects/houses/EU/CH/RES_11.60x11.30x8.00_CH.obj",,,
12.45.00,40.26.00,"residential","CH","objects/houses/EU/CH/RES_12.45x39.86x14.06_CH.obj",,,
13.17.00,40.26.00,"residential","CH","objects/houses/EU/CH/RES_12.77x39.86x14.16_CH.obj",,,
14.00.00,14.00.00,"residential","CH","objects/houses/EU/CH/RES_13.60x13.60x10.20_CH.obj",,,
14.52.00,16.55.00,"residential","CH","objects/houses/EU/CH/RES_14.52x16.55x9.19_CH.obj",,,
17.00.00,17.00.00,"residential","CH","objects/houses/EU/CH/RES_17.00x17.00x20.57_CH.obj",,,
19.43.00,17.11.00,"residential","CH","objects/houses/EU/CH/RES_19.43x17.11x14.42_CH.obj",,,
29.38.00,20.39.00,"residential","CH","objects/houses/EU/CH/RES_28.98x19.99x22.85_CH.obj",,,
29.11.00,22.34.00,"residential","CH","objects/houses/EU/CH/RES_29.11x21.94x23.97_CH.obj",,,
31.00.00,20.40.00,"residential","CH","objects/houses/EU/CH/RES_30.60x20.40x14.86_CH.obj",,,
32.00.00,16.20.00,"residential","CH","objects/houses/EU/CH/RES_31.60x16.2x11.53_CH.obj",,,
32.00.00,16.12.00,"residential","CH","objects/houses/EU/CH/RES_31.60x16.12x11.53_CH.obj",,,
34.20.00,17.25.00,"residential","CH","objects/houses/EU/CH/RES_33.80x17.25x12.34_CH.obj",,,
35.06.00,11.30.00,"residential","CH","objects/houses/EU/CH/RES_34.66x11.30x8.00_CH.obj",,,
39.20.00,20.19.00,"residential","CH","objects/houses/EU/CH/RES_38.80x19.79x14.16_CH.obj",,,
40.08.00,12.45.00,"residential","CH","objects/houses/EU/CH/RES_39.68x12.45x14.16_CH.obj",,,
06.00.00,12.00.00,"residential","CH","objects/houses/EU/CH/RES_6.00x12.00x6.50_CH.obj",,,
07.00.00,12.00.00,"residential","CH","objects/houses/EU/CH/RES_7.00x12.00x10.00_CH.obj",,,
10.00.00,10.00.00,"residential","NL;DE;GB","objects/houses/EU/NL/R_10x10_NL_1.obj",,,2
10.00.00,10.00.00,"residential","NL;DE;GB","objects/houses/EU/NL/R_10x10_NL_2.obj",,,2
08.05.00,11.00.00,"residential","NL;DE;GB","objects/houses/EU/NL/R_8.5x11_NL.obj",,,2
16.05.00,08.50.00,"residential","NL;DE;GB","objects/houses/EU/NL/R_16.5x8.5_NL.obj",,,2
07.02.00,10.07.00,"residential","NL;DE","objects/houses/EU/NL/R_7.82x9.67_NL_1.obj",,,2
07.02.00,10.07.00,"residential","NL;DE","objects/houses/EU/NL/R_7.82x9.67_NL_2.obj",,,2
14.00.00,11.00.00,"residential","NL;DE;GB","objects/houses/EU/NL/R_14x11_NL.obj",,,2
19.50.00,09.50.00,"residential","NL;DE","objects/houses/EU/NL/R_19.5x9.5_NL.obj",,,2
20.05.00,08.04.00,"residential","NL;DE;GB","objects/houses/EU/NL/R_19.65x7.64_NL_1.obj",,,2
38.00.00,08.04.00,"residential","NL;DE;GB","objects/houses/EU/NL/R_38.00x7.64_NL_1.obj",,,2
10.24.00,07.20.00,"residential","NL;DE","objects/houses/EU/NL/R_9.84x6.80.obj",,,1
12.00.00,12.00.00,"residential","AT;DE;NL","objects/houses/EU/AT/R_12x12_AT.obj",,,5
26.50.00,27.00.00,"residential","AT;DE;NL","objects/houses/EU/AT/R_26.50x27.00_AT.obj",,,4
16.30.00,14.30.00,"residential","CH","objects/houses/EU/CH/RES_15.90x14.30x8.60.obj",,,
20.00.00,10.00.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_20.00X10.00X10.00_IT.obj",,,
10.00.00,10.00.00,"residential","ES;IT","objects/houses/EU/ES/R_10x10_ES_1.obj",,,2
07.52.00,16.03.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_7.52x16.3_PL.obj",,,2
08.15.00,16.03.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_7.75x16.3_PL.obj",,,2
09.00.00,09.00.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_9.0x9.0_PL_1.obj",,,2
09.00.00,09.00.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_9.0x9.0_PL_2.obj",,,2
09.00.00,09.00.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_9.0x9.0_PL_3.obj",,,2
10.02.00,17.00.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_9.62x17.0_PL.obj",,,2
10.01.00,13.05.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_10.1x13.5_PL.obj",,,3
10.07.00,07.08.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_10.7x7.8_PL.obj",,,3
16.08.00,14.05.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_16.8x14.5_PL.obj",,,2
22.06.00,13.03.00,"residential","CE;PL;DE","objects/houses/EU/PL/R_22.6x13.3_PL.obj",,,3
20.00.00,15.50.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_20.00X15.50X5.50_IT",,,1
20.00.00,20.00.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_20.00X20.00X5.00_IT",,,1
20.00.00,20.00.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_20.00X20.00X10.00_IT",,,2
21.50.00,16.00.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_21.50X16.00X5.50_IT",,,1
21.50.00,16.00.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_21.50X16.00X9.00_IT",,,2
22.50.00,12.50.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_22.50X12.50X9.00_IT",,,2
26.00.00,12.50.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_26.00X12.50X10.00_IT",,,2
30.00.00,12.50.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_30.00X12.50X7.00_IT",,,2
30.00.00,20.50.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_30.00X20.50X8.00_IT",,,2
32.00.00,16.00.00,"residential","CH;IT;ES","objects/houses/EU/IT/RUR_32.00X16.00X10.00_IT",,,2
